=== Tool Life Management ===
Title	Tool Master	Tool Record	Month	Customer Type	Year	No of Parts	Machine clamping force (T)	Tooling cost	Currency	Tool description	Master Type	Warranty (Parts)	Tool Owner	Type of Sprue	Overall Cycle time (s)	Type of press	Standard daily capacity (Parts)	Max daily capacity (Parts)	Part Gross Weight (g)	Part Net Weight (g)	Strip width (mm)	Pitch (mm)	Lead Time (months)	Plant	Tool Type	Plant:Title	Plant:Site	Tool Type:Title	End_of_production	EOP	ID	Created	Modified	MasterRecord	ParentTitle	ToolCurrentStatus	Data	Created By	Modified By	TestCurrency	Property	Part per cycle	PartNumberReference	PartReference	Tool Maker	Warranty Alert	Attachments 
ST-2016-01-35-687					2016	1	687.0	26910	RmB	Ground Terminal		10000000	TMG			V	86400.0						2.99	AVO Kunshan	Stamping			ST								In use								T31520004			
ST-2016-01-35-688					2016	1	688.0	19305	RmB	Ground Contact plate		1000000	TMG			V							2.99	AVO Kunshan	Stamping			ST								In use								TM-309-001			
ST-2016-01-30-689					2016	1	689.0	29500	RmB	Brush holder		10000000	EUROTA			V	43200.0						2.76	AVO Kunshan	Stamping			ST								In use								U11620002			
ST-2016-01-30-690					2016	1	690.0	17500	RmB	Brush holder plate		10000000	EUROTA			V	86400.0						2.76	AVO Kunshan	Stamping			ST								In use								U11620003			
TP-2016-04-50-691					2016	4	691.0	32000	RmB	Choke coil clip		4000000	VALEO				4937.0						3.22	AVO Kunshan	Thermoplastic Injection			TP								In use								W000089667			
TP-2016-04-100-692					2016	4	692.0	62000	RmB	RFI box		4000000	VALEO				4937.0						2.99	AVO Kunshan	Thermoplastic Injection			TP								In use								W000074596			
TP-2016-04-200-693					2016	4	693.0	39900	EURO	Body tool for 10C platines		10000000	NIDEC	HR direct on part		H	8229.0						2.3	AVO El Fahs	Thermoplastic Injection			TP								In use								Body tool for 10C platines			
TP-2016-04-200-694					2016	4	694.0	129777	EURO	PLATINE 10T Ducato		7996000	NIDEC	HR on part		H	8229.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A996746B, AA10106380H, AA08106102B, A993492P, AA10106291J, A996754T, AA14106667M, AA12106513D, AA12106553H, AA15106740R, AA16106796T, AA18106868K, AA13106606F			
TP-2016-08-120-695					2016	8	695.0	131122	EURO	Boitier SIM2 (AS)		13521944	INTEVA	HR direct on part		H	15026.0						4.83	AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60110819			
ST-2016-01-25-696					2016	1	696.0	48000	RmB	Power insert left SIM2 (AS)		40000000	INTEVA			V	216000.0						3.45	AVO El Fahs	Stamping			ST								In use								A60110823			
ST-2016-01-25-697					2016	1	697.0	48000	RmB	Power insert right SIM2 (AS)		40000000	INTEVA			V	216000.0						3.45	AVO El Fahs	Stamping			ST								In use								A60110824			
ST-2016-01-25-698					2016	1	698.0	3738	USD	Lead frame HS to plate		5000000	TRICO			V	43200.0						3.22	AVO Monterrey	Stamping			ST								In use								50-0743, T21120002			
ST-2016-01-25-699					2016	1	699.0			Lead frame LS to frame		0	TRICO			V	43200.0							AVO Monterrey	Stamping			ST								In use								50-0741, T21120003			
TP-2016-08-80-700					2016	8	700.0	13000	USD	C-Shape retainer		6000000	TRICO	cold sprue		H	19200.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2016-04-80-701					2016	4	701.0	15700	USD	Plastic brush plate		3000000	TRICO	cold runner		H	5760.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2016-02-80-702					2016	2	702.0	9550	EURO	Integrated connector 11TA B515 NEO		1000000	NIDEC			H	1920.0						2.76	AVO El Fahs	Thermoplastic Injection			TP								In use								A16116807D			
ST-2016-01-60-703					2016	1	703.0	26000	RmB	Terminal connector 11TA B515 NEO		2000000	NIDEC			V	43200.0						3.22	AVO El Fahs	Stamping			ST								In use								A16116806C			
TS-2016-140-75-704					2016	140	704.0	3130	EURO	Seal SIM2 (AS & Elec)		35000000	INTEVA	Cold runner		V	20160.0						2.76	AVO El Fahs	Thermoset Injection			TS								In use								A60110820			
CP-2016-02-75-705					2016	2	705.0	3000	EURO	Bearing SIM2 (AS & Elec)		100000000	INTEVA			V							2.07	AVO El Fahs	Compression			CP								In use								A60110826			
ST-2016-01-15-706					2016	1	706.0	7188	USD	Lead Frame F552 (bending 90°)		10000000	TRICO			V	21600.0							AVO Monterrey	Stamping			ST								In use											
ST-2016-01-15-709					2016	1	709.0	6500	EURO	Spring for brushes		100000000	INTEVA			V	54000.0						2.76	AVO El Fahs	Stamping			ST								In use								A60110822			
ST-2013-01-15-710					2013	1	710.0			Brush Holder		1111111	B & D			V	21600.0						3.45	AVO Monterrey	Stamping			ST								In use								50-0692			
ST-2016-01-30-711					2016	1	711.0	3200	EURO	Languettes connecteur EPSILON		6000000	NIDEC			V	18000.0						2.99	AVO El Fahs	Stamping			ST								In use								A872327K			
TP-2016-04-80-712					2016	4	712.0	13200	EURO	CONNECTEUR 11TA EPSILON		4000000	NIDEC	Cold runner		H	3840.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100477, A60100482			
ST-2016-01-15-713					2016	1	713.0			Brush box		6000000	BOSCH			V	43200.0						4.14	AVO Monterrey	Stamping			ST								DFM / Kick off											
ST-2016-01-15-714					2016	1	714.0			Terminal		6000000	BOSCH			V	43200.0						2.99	AVO Monterrey	Stamping			ST								DFM / Kick off											
TP-2016-02-150-715					2016	2	715.0			Brush plate		12000000	BOSCH				1728.0						3.68	AVO Monterrey	Thermoplastic Injection			TP								DFM / Kick off											
TP-2017-02-50-717					2017	2	717.0	16435	EURO	Connecteur surmoulé 11TA DUCATO (Bk)		1700000	NIDEC			H	2160.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100041, AA17116846O			
ST-2017-01-50-718					2017	1	718.0	23000	RmB	Insert Connecteur DUCATO - 11 TA		6000000	NIDEC			V	36000.0						2.99	AVO El Fahs	Stamping			ST								In use								A878422F			
TP-2017-08-80-719					2017	8	719.0	88071	EURO	Brush plate reversible		16000000	VALEO	HR on part		H	14400.0						4.37	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101910, A60101909, A60101920, A60101919			
ST-2017-01-25-720					2017	1	720.0	81860.2	RmB	Terminal en CuZn37		30000000	VALEO			V	54000.0						3.22	AVO El Fahs	Stamping			ST								Mold scraped								A60101912			
ST-2017-01-25-721					2017	1	721.0	73699.6	RmB	Brush box (reversible)		30000000	VALEO			V	54000.0						4.14	AVO El Fahs	Stamping			ST								Mold scraped								A60101911			
TP-2017-16-120-722					2017	16	722.0	53100	EURO	VW retainer ring		28000000	VALEO	HR on mini sprue		H	43200.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101914			
ST-2017-01-30-723					2017	1	723.0	35000	RmB	Terminal Jumper		3000000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0763			
ST-2017-01-30-724					2017	1	724.0	32000	RmB	Terminal		3000000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0760			
ST-2017-01-30-725					2017	1	725.0	35000	RmB	Terminal		3000000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0761			
ST-2017-01-30-726					2017	1	726.0	58000	RmB	Brush box		3000000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0762			
ST-2017-01-30-727					2017	1	727.0	1090	USD	Spring brush		20000000	SB&D			V	54000.0							AVO Monterrey	Stamping			ST								DFM / Kick off								613625			
TP-2017-08-75-728					2017	8	728.0	29044	USD	Brush plate FLEX		14000000	VALEO	HR on mini sprue		H	20329.0						4.37	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0077			
ST-2017-01-15-729					2017	1	729.0	20000	RmB	Lead frame FLEX - 2 versions 83/84 et 84/82/85		60000000	VALEO			V	54000.0						3.68	AVO Monterrey	Stamping			ST								In use								53-0765A, 53-0765B			
ST-2017-02-45-730					2017	2	730.0	8300	USD	Spring leaf Flex		120000000	VALEO				432000.0						2.99	AVO Monterrey	Stamping			ST								In use								52-1725			
TP-2017-04-100-731					2017	4	731.0	43900	USD	Brush Holder F552 overmolded		4000000	TRICO	HR on sprue		V	3086.0						3.91	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0067, 16-0067M			
TP-2017-04-75-732					2017	4	732.0	24650	EURO	CONNECTEUR MAZDA B2E 10C45		4000000	NIDEC	HR on sprue		H	3840.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA07106025G, AA08106056K, AA15106743U, AA15106744V, AA20106695N			
ST-2017-02-80-733					2017	2	733.0			Platine bakelite MNG2		6000000	VALEO											AVO Kunshan	Stamping			ST								In use											
ST-2017-02-80-734					2017	2	734.0			Platine bakelite MNG2E		6000000	VALEO										2.99	AVO El Fahs	Stamping			ST								Mold scraped								A60110801			
ST-2017-02-80-735					2017	2	735.0			Platine bakelite MNG2E		6000000	VALEO										2.99	AVO El Fahs	Stamping			ST								In use								A60110801			
ST-2017-02-80-736					2017	2	736.0			Brush plate bakelite VM4		6000000	VALEO										2.99	AVO El Fahs	Stamping			ST								Mold scraped								A60101132			
ST-2017-03-80-737					2017	3	737.0	12329	EURO	Brush plate bakelite VM4		6000000	VALEO										2.99	AVO El Fahs	Stamping			ST								In use								A60101132			
ST-2017-02-80-738					2017	2	738.0			Platine bakelite SW3		3000000	VALEO											AVO Kunshan	Stamping			ST								In use											
ST-2017-02-80-739					2017	2	739.0			Platine bakelite SW4		3000000	VALEO											AVO Kunshan	Stamping			ST								In use											
ST-2017-02-80-740					2017	2	740.0			Platine bakelite MNG2 3L2C		3000000	VALEO										2.99	AVO El Fahs	Stamping			ST								In use								A53290607			
ST-2017-02-80-741					2017	2	741.0			Platine bakelite VM4 FIAT		3000000	VALEO										2.99	AVO El Fahs	Stamping			ST								In use								A60101647			
ST-2017-02-80-742					2017	2	742.0			Platine bakelite PRB4		3000000	VALEO										2.99	AVO El Fahs	Stamping			ST								In use								A53290567			
ST-2017-02-80-743					2017	2	743.0			Platine bakelite MNG3		3000000	VALEO										2.99	AVO El Fahs	Stamping			ST								In use								A53290737			
ST-2017-02-80-744					2017	2	744.0			Platine bakelite MK		3000000	No tool owner										2.99	AVO El Fahs	Stamping			ST								In use								ZD1432-361A			
ST-2017-02-80-745					2017	2	745.0			Platine bakelite 50-417		3000000	No tool owner										2.99	AVO Monterrey	Stamping			ST								In use											
ST-2017-02-80-746					2017	2	746.0			Platine bakelite VM4 GEN1		3000000	VALEO											AVO Kunshan	Stamping			ST								In use											
ST-2017-02-80-747					2017	2	747.0			Platine bakelite TRICO		3000000	TRICO										2.99	AVO Monterrey	Stamping			ST								In use											
TP-2017-16-110-748					2017	16	748.0	18000	EURO	Trip ring		16000000	NIDEC			H	31418.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101944			
ST-2017-02-25-749					2017	2	749.0	24000	RmB	STECKER FL / male spade terminal 		16000000	NIDEC			V	96000.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101935			
ST-2017-02-25-750					2017	2	750.0	30400	RmB	STECKER FL1 /male spade terminal		16000000	NIDEC			V	96000.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101936			
ST-2017-02-25-751					2017	2	751.0	28000	RmB	Blech K0 / Ground contact		16000000	NIDEC			V	96000.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101937			
ST-2017-03-70-752					2017	3	752.0	7397	EURO	Platte Halte		6000000	NIDEC			H	185143.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101930			
TP-2017-02-35-753					2017	2	753.0	39340	EURO	GEHAEUSE HAUPTK		520000	NIDEC			H	3600.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101931			
TP-2017-08-75-754					2017	8	754.0	27400	EURO	Brush plate FLEX		14000000	VALEO	HR on mini sprue		H	20329.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60101260			
ST-2017-01-15-755					2017	1	755.0	20000	RmB	Lead frame FLEX - 2 versions 83/84 et 84/82/85		60000000	VALEO			V	54000.0						2.99	AVO El Fahs	Stamping			ST								In use								A60101405, A60101406			
ST-2000-01-15-756					2000	1	756.0			Cosse		1000000	No tool owner				54000.0							AVO El Fahs	Stamping			ST								In use											
ST-2017-01-25-757					2017	1	757.0	30000	RmB	Terminal		2000000	BOSCH			V	54000.0						2.99	AVO Monterrey	Stamping			ST								DFM / Kick off								53-2003			
CP-2017-196-90-758					2017	196	758.0	7500	RmB	Seal 1A		39200000	CYCLAM			V	47040.0							CYCLAM Amiens	Compression			CP								DFM / Kick off											
CP-2017-64-90-759					2017	64	759.0	7566.911765	RmB	Membrane / bellow 12-30-10 (HNBR - NBR)		6400000	CYCLAM			V	9216.0							CYCLAM Amiens	Compression			CP								In use											
ST-2017-02-25-760					2017	2	760.0	30000	RmB	Terminal		4000000	OHIO				108000.0						3.22	AVO Monterrey	Stamping			ST								In use								50-7672			
TP-2017-08-80-761					2017	8	761.0	131950	EURO	GEHAEUSE HAUPTK		8000000	NIDEC	HR on mini sprue		H	14400.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101931			
TP-2017-02-60-762					2017	2	762.0	5800	EURO	Cavalier		600000	AVO Poitiers			H	3600.0						2.53	AVO El Fahs	Thermoplastic Injection			TP								In use								17002-900			
TP-2017-08-180-763					2017	8	763.0	24500	EURO	Housing Continuous		8640000	VALEO	Cold sprue		H	24686.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101134			
TP-2017-08-180-764					2017	8	764.0	23500	EURO	Housing Reversible		8000000	VALEO	Cold sprue		H	20329.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101136			
ST-2017-01-80-765					2017	1	765.0	45500	RmB	Brush Holder VM4 (version with door closed)		20000000	VALEO				43200.0						4.14	AVO El Fahs	Stamping			ST								DFM / Kick off								A60100531			
ST-2017-01-25-766					2017	1	766.0	28340	EURO	Contact Bronze VM4		50000000	VALEO			V	61714.0						2.76	AVO El Fahs	Stamping			ST								In use								A60100540			
ST-2017-02-25-767					2017	2	767.0	36220	EURO	Lead Frame		200000000	VALEO				172800.0						2.99	AVO El Fahs	Stamping			ST								In use								A60101135			
TP-2017-16-120-768					2017	16	768.0	100000	RmB	Trip ring SW4/VM4		16000000	VALEO			H	43200.0						2.99	AVO Kunshan	Thermoplastic Injection			TP								DFM / Kick off								A10210011, A60100532			
ST-2017-01-60-769					2017	1	769.0	40600	RmB	SW4 Brass (CuZn37) contact		5000000	VALEO			V	43200.0						2.99	AVO Kunshan	Stamping			ST								DFM / Kick off								A10220008			
TP-2017-04-80-770					2017	4	770.0	17000	EURO	"Connecteur B2E Metripack
Connecteur 10C20 B2E"		4000000	NIDEC	Cold runner		H	8640.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101415			
TP-2005-04-60-771					2005	4	771.0			Connecteur 2 poles		0	FAURECIA				4800.0							AVO El Fahs	Thermoplastic Injection			TP								DFM / Kick off											
ST-2017-02-60-772					2017	2	772.0	18170	EURO	Power insert right SIM2 (Elec)		20000000	INTEVA				172800.0						3.45	AVO El Fahs	Stamping			ST								In use								A60110903			
ST-2017-01-60-773					2017	1	773.0	17070	EURO	Power insert left SIM2 (Elec)		20000000	INTEVA			V	172800.0						3.45	AVO El Fahs	Stamping			ST								In use								A60110904			
ST-2017-01-60-774					2017	1	774.0	16700	EURO	Power insert SIM2 (Elec)		10000000	INTEVA			V	86400.0						3.45	AVO El Fahs	Stamping			ST								In use								A60110905			
ST-2017-01-60-775					2017	1	775.0	17110	EURO	Connection SIM2 (Elec)		20000000	INTEVA			V	172800.0						3.45	AVO El Fahs	Stamping			ST								In use								A60110907			
TP-2017-02-50-776					2017	2	776.0	57290	EURO	Boitier SIM2 (Elec)		2000000	INTEVA	HR direct on part		H	5082.0						4.37	AVO El Fahs	Thermoplastic Injection			TP								In use								A60110906			
TS-2017-50-80-777					2017	50	777.0			DOPPEL NIPPEL		1500000	BOSCH	Cold runner			48000.0						2.76	AVO El Fahs	Thermoset Injection			TS								In use								A60101431			
ST-2017-01-40-778					2017	1	778.0			DREMEL TERMINAL		5000000	BOSCH			V	43200.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0714			
TP-2017-04-120-779					2017	4	779.0	110000	RmB	Brush holder unit		4000000	Dong Yang	HR on mini sprue		V	2274.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								D11710002			
ST-2017-01-60-780					2017	1	780.0	17764.05	RmB	terminal D		10000000	Dong Yang			V	45474.0						3.22	AVO Kunshan	Stamping			ST								Production end								D11720006			
ST-2017-01-60-781					2017	1	781.0	17452.4	RmB	contact plate		10000000	Dong Yang			V	61714.0						3.22	AVO Kunshan	Stamping			ST								Production end								D11720008			
ST-2017-01-60-782					2017	1	782.0	17140.75	RmB	terminal E		10000000	Dong Yang			V	61714.0						3.22	AVO Kunshan	Stamping			ST								Production end								D11720007			
ST-2017-01-80-783					2017	1	783.0	25555.3	RmB	terminal A		10000000	Dong Yang			V	45474.0						3.22	AVO Kunshan	Stamping			ST								Production end								D11720003			
ST-2017-01-60-784					2017	1	784.0	21815.5	RmB	terminal B		10000000	Dong Yang			V	45474.0						3.22	AVO Kunshan	Stamping			ST								Production end								D11720004			
ST-2017-01-60-785					2017	1	785.0	20257.25	RmB	terminal C		10000000	Dong Yang			V	45474.0						3.22	AVO Kunshan	Stamping			ST								Production end								D11720005			
CP-2017-88-150-786					2017	88	786.0	37850	EURO	Menbrane		18339992	CYCLAM			V	12672.0							CYCLAM Amiens	Compression			CP								In use											
CP-2017-80-150-787					2017	80	787.0	22000	EURO	Jonc		13500000	CYCLAM			V	11520.0							CYCLAM Amiens	Compression			CP								In use											
TS-2017-84-40-788					2017	84	788.0	10500	EURO	Embout autorupteur		37800000	HILTI	Cold runner			106729.0						2.76	AVO El Fahs	Thermoset Injection			TS								In use								A6010719			
ST-2017-01-15-789					2017	1	789.0	22000	RmB	Terminal		1200000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0746			
ST-2017-01-110-790					2017	1	790.0	133900	RmB	Brush box (continu)		10000000	VALEO			V	54000.0						4.14	AVO El Fahs	Stamping			ST								Mold scraped								A60101924			
ST-2017-01-35-791					2017	1	791.0	73800	RmB	Contact - tip		13000000	VALEO			V	54000.0						3.45	AVO El Fahs	Stamping			ST								In use								A60101921			
ST-2017-01-80-792					2017	1	792.0	62400	RmB	Contact - tip		10000000	VALEO			V	54000.0						3.22	AVO El Fahs	Stamping			ST								In use								A60101922, A60101923			
ST-2017-01-15-793					2017	1	793.0	7174	EURO	Deshuntage OVP 10T - 10C		10000000	AVO Tn			V	54000.0							AVO El Fahs	Stamping			ST								In use											
TP-2017-02-25-794					2017	2	794.0	3800	USD	Plastic conector First		1000000	VALEO				7855.0							AVO Monterrey	Thermoplastic Injection			TP								In use											
ST-2017-01-25-795					2017	1	795.0	38000	RmB	Plate (lower plate)		3000000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								DFM / Kick off								53-0767			
ST-2017-01-25-796					2017	1	796.0	16000	RmB	Brush holder (top case)		3000000	SB&D			V	54000.0						3.45	AVO Monterrey	Stamping			ST								DFM / Kick off								53-0766			
TP-2017-01-30-797					2017	1	797.0	10000	EURO	Capavaristance SHCV 4,7 µF		100000000	VALEO				54000.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								DFM / Kick off								A60101926			
ST-2017-01-00-798					2017	1	798.0	1350	EURO	Outil formage fil plat 1x3,6		100000000	CYCLAM			V							2.99	AVO Poitiers	Stamping			ST								DFM / Kick off											
TP-2017-08-75-799					2017	8	799.0	28025	EURO	Brush plate FLEX		14000000	VALEO	HR on mini sprue		H	20329.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101260			
TP-2017-08-75-800					2017	8	800.0	26000	EURO	Brush plate FLEX		14000000	VALEO	HR on mini sprue		H	20329.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101260			
TP-2017-04-160-801					2017	4	801.0	37400	USD	GW BP left		4000000	VALEO	HR on sprue		H	8229.0						3.91	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0021			
TS-2017-04-75-802					2017	4	802.0	32000	RmB	Brush holder Stay		2000000	Dong Yang	Cold runner									3.68	AVO Kunshan	Thermoset Injection			TS								In use								D11710001			
TP-2018-08-180-803					2018	8	803.0	228000	RmB	brush holder		8000000	Dong Chang			H							3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								D21210002			
ST-2018-01-50-804					2018	1	804.0	7000	RmB	Anneau de membrane NCP25		500000	JIANTONG			V	10800.0							CYCLAM Amiens	Stamping			ST								In use											
TS-2018-04-150-805					2018	4	805.0	153000	RmB	Brush Holder EPS		2000000	TAIGENE	Cold runner		H	2304.0						3.22	AVO Kunshan	Thermoset Injection			TS								In use								O1810001			
ST-2018-01-30-806					2018	1	806.0	15000	RmB	Fixing clip		3000000	TAIGENE				43200.0						3.45	AVO Kunshan	Stamping			ST								In use								O1820003			
ST-2018-01-30-807					2018	1	807.0	25000	RmB	Connector (-)		10000000	TAIGENE				43200.0						3.45	AVO Kunshan	Stamping			ST								In use								O1820001			
ST-2018-01-30-808					2018	1	808.0	25000	RmB	Connector (+)		10000000	TAIGENE				43200.0						3.45	AVO Kunshan	Stamping			ST								In use								O1820002			
TS-2018-225-15-809					2018	225	809.0	6000	RmB	Bumper		11250000	JIANTONG	Cold runner		V	64800.0						2.76	AVO Kunshan	Thermoset Injection			TS								In use								O1880001			
CP-2018-01-15-810					2018	1	810.0	3300	EURO	Rondelle de frottement NCP25		500000	COORSTEK			V	1440.0							CYCLAM Amiens	Compression			CP								In use											
CP-2018-01-15-811					2018	1	811.0	3400	EURO	Contre bague brute NCP25		500000	COORSTEK			V	1440.0							CYCLAM Amiens	Compression			CP								In use											
TP-2017-04-100-812					2017	4	812.0	145000	RmB	Insulating part (Huayu brush card)		4000000	PIERBURG	Cold runner		H	4800.0						3.45	AVO Kunshan	Thermoplastic Injection			TP								In use								O1740002			
ST-2017-01-110-813					2017	1	813.0	54000	RmB	motor contact		20000000	PIERBURG			V	54000.0						3.45	AVO Kunshan	Stamping			ST								In use								O1720002			
ST-2017-02-110-814					2017	2	814.0	33000	RmB	motor contact		20000000	PIERBURG			V	54000.0						3.45	AVO Kunshan	Stamping			ST								In use								O1720003			
ST-2017-02-110-815					2017	2	815.0	16000	RmB	Contact angle		20000000	PIERBURG			V	54000.0						3.45	AVO Kunshan	Stamping			ST								In use								O1720004			
ST-2017-01-110-816					2017	1	816.0	52000	RmB	Brush bracket		20000000	PIERBURG			V	54000.0						3.45	AVO Kunshan	Stamping			ST								In use								O1720005			
ST-2018-01-50-817					2018	1	817.0	28000	RmB	shunt terminal		3000000	TRICO				61714.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0772			
ST-2018-01-50-818					2018	1	818.0	78000	RmB	Brush tube		6000000	TRICO				54000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0773			
TP-2018-04-50-819					2018	4	819.0	10800	USD	Cover left		4000000	TRICO				10165.0						4.37	AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2018-04-50-820					2018	4	820.0	10800	USD	retainer		4000000	TRICO				10165.0						2.76	AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2018-04-100-821					2018	4	821.0	22300	USD	Brush plate left		4000000	TRICO				8229.0						3.91	AVO Monterrey	Thermoplastic Injection			TP								In use											
ST-2018-01-06-822					2018	1	822.0	23000	USD	Terminal		5000000	TRICO				54000.0						2.53	AVO Monterrey	Stamping			ST								DFM / Kick off								95041-1671			
TP-2018-16-120-823					2018	16	823.0	29000	EURO	Trip ring SW4/VM4		28000000	VALEO	HR on mini sprue		H	43200.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100532			
ST-2018-01-35-824					2018	1	824.0	28000	RmB	Receptacle faston		2400000	SB&D				43200.0						2.76	AVO Monterrey	Stamping			ST								DFM / Kick off								61971			
CP-2018-36-100-827					2018	36	827.0	1757.5	EURO	Menbrane NCP 25 (NBR + EPDM + HNBR)		5400000	CYCLAM			V	5184.0							CYCLAM Amiens	Compression			CP								In use											
CP-2018-36-100-828					2018	36	828.0	1757.5	EURO	Menbrane NCP 25 (FKM)		5400000	CYCLAM			V	5184.0							CYCLAM Amiens	Compression			CP								In use											
CP-2018-36-100-829					2018	36	829.0	1155	EURO	Jonc NCP 25 (NBR + EPDM + HNBR)		5400000	CYCLAM			V	5184.0							CYCLAM Amiens	Compression			CP								In use											
CP-2018-36-100-830					2018	36	830.0	1155	EURO	Jonc NCP 25 (FKM)		5400000	CYCLAM			V	5184.0							CYCLAM Amiens	Compression			CP								In use											
CP-2018-100-100-831					2018	100	831.0	1155	EURO	Jonc 12 JME (HNBR)		15000000	CYCLAM			V	24000.0							CYCLAM Amiens	Compression			CP								In use											
TP-2018-08-35-832					2018	8	832.0	28000	RmB	Locking part		8000000	HENGTE	Cold runner		H	19200.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								O1880003			
TP-2018-02-80-833					2018	2	833.0	156000	RmB	Brush card overmolding		3200000	HENGTE	cold runner		H	2160.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								O1880008			
TP-2018-02-80-834					2018	2	834.0	89000	RmB	Seal overmolding		1600000	HENGTE	cold runner		H	2469.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								O1880005			
ST-2018-01-40-835					2018	1	835.0	40000	RmB	Terminal		5000000	HENGTE			V	54000.0						3.45	AVO Kunshan	Stamping			ST								In use								O1820007			
ST-2018-01-50-836					2018	1	836.0	53000	RmB	Brush box		5400000	HENGTE			V	51840.0						3.45	AVO Kunshan	Stamping			ST								In use								O1820005			
ST-2018-01-150-837					2018	1	837.0	14800	USD	Brush tube		5000000	MILWAUKEE				61714.0						3.22	AVO Monterrey	Stamping			ST								In use								53-0777			
ST-2018-01-150-838					2018	1	838.0	13800	USD	Brush tube		5000000	MILWAUKEE				61714.0						3.22	AVO Monterrey	Stamping			ST								In use								53-0775			
TP-2018-08-80-839					2018	8	839.0	130000	RmB	Brush holder (421)		8000000	MELCO	HR direct on part		V	6912.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								O1810005			
TP-2018-08-80-840					2018	8	840.0	110000	RmB	Slinger (421)		8000000	MELCO	HR on mini sprue		H	10800.0						3.68	AVO Kunshan	Thermoplastic Injection			TP								In use								O1810006			
ST-2018-01-80-841					2018	1	841.0	91200	RmB	Brush tube		1000000	MILWAUKEE				61714.0						3.68	AVO Monterrey	Stamping			ST								Fine tuning								53-0776			
ST-2017-01-50-842					2017	1	842.0	34000	RmB	Terminal D (earth)		2000000	Dong Yang			V	61714.0						3.68	AVO Kunshan	Stamping			ST								DFM / Kick off								D11720001			
TP-2018-16-120-843					2018	16	843.0	16000	USD	SLEEVE		16000000	No tool owner	Cold runner		H	26585.0						3.45	AVO Monterrey	Thermoplastic Injection			TP								In use											
TP-2018-04-80-844					2018	4	844.0	14500	EURO	Trip ring		4000000	NIDEC	Cold sprue		H	6646.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								A60101960			
CP-2018-240-100-845					2018	240	845.0	2320	RmB	Plug Anti Dust		12000000	VALEO			V	25920.0							AVO El Fahs	Compression			CP								In use											
TP-2002-01-60-846					2002	1	846.0			GRUNDPLATTE		30000	HILTI				758.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100150			
TP-2002-01-60-847					2002	1	847.0					30000	HILTI				1440.0						3.45	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100250			
